视频ID,帧序号,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面,身体平面与Y轴夹角_度_X轴为0向上为正_0到180,左髋X轴位移,右髋X轴位移,肩线中心X轴位移,左手X轴位移,肩线旋转减髋线旋转_度,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__合规,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__超下限,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__超上限,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__偏差,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__审判_0标准1轻微2异常,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__合规,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__超下限,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__超上限,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__偏差,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__审判_0标准1轻微2异常,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__合规,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__超下限,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__超上限,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__偏差,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__审判_0标准1轻微2异常,左髋X轴位移__合规,左髋X轴位移__超下限,左髋X轴位移__超上限,左髋X轴位移__偏差,左髋X轴位移__审判_0标准1轻微2异常,右髋X轴位移__合规,右髋X轴位移__超下限,右髋X轴位移__超上限,右髋X轴位移__偏差,右髋X轴位移__审判_0标准1轻微2异常,肩线中心X轴位移__合规,肩线中心X轴位移__超下限,肩线中心X轴位移__超上限,肩线中心X轴位移__偏差,肩线中心X轴位移__审判_0标准1轻微2异常,左手X轴位移__合规,左手X轴位移__超下限,左手X轴位移__超上限,左手X轴位移__偏差,左手X轴位移__审判_0标准1轻微2异常,肩线旋转减髋线旋转_度__合规,肩线旋转减髋线旋转_度__超下限,肩线旋转减髋线旋转_度__超上限,肩线旋转减髋线旋转_度__偏差,肩线旋转减髋线旋转_度__审判_0标准1轻微2异常,帧级加权偏差,帧级评分_0到100,异常指标数_帧级,轻微偏差指标数_帧级,帧级结论,帧级异常_连续过滤后,帧级结论_连续过滤后
1,0,-1.068945717256611,0.03953924333410311,158.1248064406187,0.0,0.0,0.0,0.0,-1.108484960590714,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,1,-1.2049722962360438,-0.06566502102166338,160.33975293568534,3.427267074584961e-05,0.0003928840160369873,0.0003822445869445801,-0.0005694329738616943,-1.1393072752143805,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,2,-1.2220190923984433,-0.12295839441090145,160.4170867381643,0.0001532137393951416,0.000704348087310791,0.0006876140832901001,-0.0009333193302154541,-1.099060697987542,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,3,-1.1946261811797918,-0.1730417268566914,160.2972689138668,0.00022518634796142578,0.0009444057941436768,0.0008895695209503174,-0.0011376440525054932,-1.0215844543231003,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,4,-1.1811156356827204,-0.2184424920605712,159.67611444506622,0.0002708137035369873,0.0011417567729949951,0.0010154545307159424,-0.001318603754043579,-0.9626731436221492,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,5,-1.1551788640668226,-0.21795550749844914,159.4941903723276,0.0003338456153869629,0.0011993944644927979,0.0011119693517684937,-0.0018957853317260742,-0.9372233565683734,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,6,-1.1083220092624404,-0.2043499662223796,159.31465397473391,0.0004106462001800537,0.001227349042892456,0.0012557059526443481,-0.002244025468826294,-0.9039720430400608,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,7,-1.0780971926347822,-0.19347775747020135,159.4691264384843,0.00046190619468688965,0.0012395977973937988,0.0013597756624221802,-0.0026063621044158936,-0.8846194351645809,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,8,-1.0536110955911555,-0.17635497870999037,159.45588933642387,0.000519871711730957,0.0012389719486236572,0.0014264881610870361,-0.0028312504291534424,-0.8772561168811651,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,9,-1.0600868884256673,-0.17155372645859263,159.7173504429365,0.0005445480346679688,0.0012447834014892578,0.0014506131410598755,-0.003049015998840332,-0.8885331619670747,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,10,-1.0548288314761796,-0.16446432362494462,159.87666963921083,0.0005697906017303467,0.001246124505996704,0.0014619678258895874,-0.003123641014099121,-0.890364507851235,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,11,-1.0426458978911803,-0.15298305394872969,159.85087459014284,0.0005962848663330078,0.0012347698211669922,0.0014959275722503662,-0.0031251609325408936,-0.8896628439424507,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,12,-1.0430695136449157,-0.14073274216428178,161.14369393786544,0.0006258189678192139,0.001222461462020874,0.001523345708847046,-0.0031524598598480225,-0.902336771480634,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
